2026-03-16 17:11:07.536 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 17:11:19.581 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 17:11:31.718 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 17:11:43.779 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 17:11:55.910 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 17:12:07.987 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 17:12:20.412 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 17:12:32.645 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 17:12:44.681 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 17:12:56.907 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 17:13:09.377 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 17:13:21.719 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 17:13:34.036 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 17:13:46.484 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 17:13:58.945 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 17:14:11.041 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 17:14:23.140 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 17:14:35.255 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 17:14:47.347 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 17:14:59.462 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 17:15:11.913 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 17:15:24.398 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 17:18:44.114 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 17:18:56.337 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 17:19:08.661 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 17:19:21.002 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 17:25:05.729 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 17:25:17.854 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 17:25:30.246 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 17:25:42.612 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 17:25:54.887 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 17:26:07.190 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 17:26:19.618 ui_auto_wechat.py[634] find_msg_list -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl, Depth: 1}
2026-03-16 17:26:33.658 ui_auto_wechat.py[29] click -> Find Control Timeout(10s): {Name: '搜索', ControlType: EditControl, Depth: 13}
2026-03-16 17:26:50.159 ui_auto_wechat.py[29] click -> Find Control Timeout(10s): {Name: '搜索', ControlType: EditControl, Depth: 13}
2026-03-16 17:27:25.591 ui_auto_wechat.py[29] click -> Find Control Timeout(10s): {Name: '搜索', ControlType: EditControl, Depth: 13}
