2026-03-14 11:25:42.954 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:25:53.985 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:26:05.020 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:26:16.054 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:26:27.108 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:26:38.149 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:26:49.216 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:27:00.231 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:27:11.262 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:27:22.298 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:27:33.334 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:27:44.366 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:27:55.396 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:28:06.444 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:28:17.466 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:28:28.501 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:28:39.576 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:28:50.594 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:29:01.656 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:29:12.677 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:29:23.738 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:29:34.785 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:29:45.822 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
2026-03-14 11:29:56.828 ui_auto_wechat.py[627] get_current_chat_messages -> Find Control Timeout(10s): {Depth: 1, Name: '微信', ControlType: WindowControl}
